ID_SAPS,SAPS,fecha,vacunas_tipo,vacunas_cantidad
45,Dr. Saul Calmanash,2020-01-01,n/a,-1
45,Dr. Saul Calmanash,2020-01-01,ANTI GRIPAL,1
45,Dr. Saul Calmanash,2020-01-01,FIEBRE AMARILLA,10
45,Dr. Saul Calmanash,2020-01-01,DPT,5
45,Dr. Saul Calmanash,2020-01-01,DPT (a),5
45,Dr. Saul Calmanash,2020-01-01,HPV,1
47,Dr. Guillermo Rawson,2020-01-01,HEPATITIS B,14
47,Dr. Guillermo Rawson,2020-01-01,SALK,4
47,Dr. Guillermo Rawson,2020-01-01,ROTAVIRUS,4
47,Dr. Guillermo Rawson,2020-01-01,PENTAVALENTE,14
47,Dr. Guillermo Rawson,2020-01-01,NEUMOCOCICA CONJUGADA,11
47,Dr. Guillermo Rawson,2020-01-01,SABIN ORAL,-1
47,Dr. Guillermo Rawson,2020-01-01,TRIPLE VIRAL,30
47,Dr. Guillermo Rawson,2020-01-01,ANTI GRIPAL,4
47,Dr. Guillermo Rawson,2020-01-01,HEPATITIS A,6
47,Dr. Guillermo Rawson,2020-01-01,VARICELA,3
47,Dr. Guillermo Rawson,2020-01-01,FIEBRE AMARILLA,5
47,Dr. Guillermo Rawson,2020-01-01,DPT (a),8
47,Dr. Guillermo Rawson,2020-01-01,DOBLE BACTERIANA,32
47,Dr. Guillermo Rawson,2020-01-01,HPV,8
51,Dr. Juan Chercoff,2020-01-01,SALK,1
51,Dr. Juan Chercoff,2020-01-01,ROTAVIRUS,1
51,Dr. Juan Chercoff,2020-01-01,PENTAVALENTE,6
51,Dr. Juan Chercoff,2020-01-01,NEUMOCOCICA CONJUGADA,1
51,Dr. Juan Chercoff,2020-01-01,SABIN ORAL,6
51,Dr. Juan Chercoff,2020-01-01,TRIPLE VIRAL,3
51,Dr. Juan Chercoff,2020-01-01,VARICELA,2
51,Dr. Juan Chercoff,2020-01-01,DPT,1
51,Dr. Juan Chercoff,2020-01-01,DPT (a),1
51,Dr. Juan Chercoff,2020-01-01,DOBLE BACTERIANA,3
51,Dr. Juan Chercoff,2020-01-01,HPV,2
10002,Dr. Semper,2020-01-01,HEPATITIS B,1
10002,Dr. Semper,2020-01-01,PENTAVALENTE,3
10002,Dr. Semper,2020-01-01,TRIPLE VIRAL,5
10002,Dr. Semper,2020-01-01,ANTI GRIPAL,4
10002,Dr. Semper,2020-01-01,HEPATITIS A,3
10002,Dr. Semper,2020-01-01,VARICELA,1
10002,Dr. Semper,2020-01-01,DPT (a),3
10002,Dr. Semper,2020-01-01,DOBLE BACTERIANA,8
10002,Dr. Semper,2020-01-01,MENINGOCOC.,2
10002,Dr. Semper,2020-01-01,HPV,4
76,Dr. Romilio Monzón,2020-01-01,HEPATITIS B,11
76,Dr. Romilio Monzón,2020-01-01,SALK,7
76,Dr. Romilio Monzón,2020-01-01,ROTAVIRUS,11
76,Dr. Romilio Monzón,2020-01-01,PENTAVALENTE,5
76,Dr. Romilio Monzón,2020-01-01,NEUMOCOCICA CONJUGADA,17
76,Dr. Romilio Monzón,2020-01-01,SABIN ORAL,12
76,Dr. Romilio Monzón,2020-01-01,TRIPLE VIRAL,37
76,Dr. Romilio Monzón,2020-01-01,ANTI GRIPAL,11
76,Dr. Romilio Monzón,2020-01-01,HEPATITIS A,7
76,Dr. Romilio Monzón,2020-01-01,MENINGOCOC.,1
76,Dr. Romilio Monzón,2020-01-01,FIEBRE AMARILLA,31
76,Dr. Romilio Monzón,2020-01-01,DPT,11
76,Dr. Romilio Monzón,2020-01-01,DPT (a),7
76,Dr. Romilio Monzón,2020-01-01,HPV,10
85,Santa Margarita,2020-01-01,HEPATITIS B,4
85,Santa Margarita,2020-01-01,SALK,4
85,Santa Margarita,2020-01-01,ROTAVIRUS,3
85,Santa Margarita,2020-01-01,PENTAVALENTE,2
85,Santa Margarita,2020-01-01,NEUMOCOCICA CONJUGADA,9
85,Santa Margarita,2020-01-01,SABIN ORAL,4
85,Santa Margarita,2020-01-01,ANTI GRIPAL,8
85,Santa Margarita,2020-01-01,HEPATITIS A,5
85,Santa Margarita,2020-01-01,VARICELA,2
85,Santa Margarita,2020-01-01,DPT (a),2
85,Santa Margarita,2020-01-01,DOBLE BACTERIANA,2
85,Santa Margarita,2020-01-01,HPV,2
85,Santa Margarita,2020-01-01,NEUMOCOCICA NO CONJUGADA,2
127,Santa Catalina,2020-01-01,SALK,2
127,Santa Catalina,2020-01-01,ROTAVIRUS,3
127,Santa Catalina,2020-01-01,PENTAVALENTE,4
127,Santa Catalina,2020-01-01,NEUMOCOCICA CONJUGADA,2
127,Santa Catalina,2020-01-01,SABIN ORAL,4
127,Santa Catalina,2020-01-01,TRIPLE VIRAL,5
127,Santa Catalina,2020-01-01,ANTI GRIPAL,1
127,Santa Catalina,2020-01-01,VARICELA,2
127,Santa Catalina,2020-01-01,FIEBRE AMARILLA,2
127,Santa Catalina,2020-01-01,DPT (a),1
127,Santa Catalina,2020-01-01,HPV,1
75,Dr. Mauricio Open,2020-01-01,SALK,3
75,Dr. Mauricio Open,2020-01-01,ROTAVIRUS,3
75,Dr. Mauricio Open,2020-01-01,NEUMOCOCICA CONJUGADA,7
75,Dr. Mauricio Open,2020-01-01,SABIN ORAL,3
75,Dr. Mauricio Open,2020-01-01,TRIPLE VIRAL,3
75,Dr. Mauricio Open,2020-01-01,ANTI GRIPAL,2
75,Dr. Mauricio Open,2020-01-01,HEPATITIS A,3
75,Dr. Mauricio Open,2020-01-01,VARICELA,1
75,Dr. Mauricio Open,2020-01-01,DOBLE BACTERIANA,8
75,Dr. Mauricio Open,2020-01-01,DOBLE VIRAL,3
75,Dr. Mauricio Open,2020-01-01,HPV,3
34,Dr. Marcelino Vera,2020-01-01,SALK,3
34,Dr. Marcelino Vera,2020-01-01,ROTAVIRUS,4
34,Dr. Marcelino Vera,2020-01-01,PENTAVALENTE,5
34,Dr. Marcelino Vera,2020-01-01,NEUMOCOCICA CONJUGADA,3
34,Dr. Marcelino Vera,2020-01-01,SABIN ORAL,1
34,Dr. Marcelino Vera,2020-01-01,TRIPLE VIRAL,6
34,Dr. Marcelino Vera,2020-01-01,ANTI GRIPAL,1
34,Dr. Marcelino Vera,2020-01-01,MENINGOCOC.,4
34,Dr. Marcelino Vera,2020-01-01,FIEBRE AMARILLA,33
34,Dr. Marcelino Vera,2020-01-01,DPT (a),2
34,Dr. Marcelino Vera,2020-01-01,HPV,1
82,Dr. Miguel Rossi Candia,2020-01-01,HEPATITIS B,28
82,Dr. Miguel Rossi Candia,2020-01-01,SALK,7
82,Dr. Miguel Rossi Candia,2020-01-01,ROTAVIRUS,6
82,Dr. Miguel Rossi Candia,2020-01-01,PENTAVALENTE,5
82,Dr. Miguel Rossi Candia,2020-01-01,NEUMOCOCICA CONJUGADA,7
82,Dr. Miguel Rossi Candia,2020-01-01,SABIN ORAL,8
82,Dr. Miguel Rossi Candia,2020-01-01,TRIPLE VIRAL,8
82,Dr. Miguel Rossi Candia,2020-01-01,ANTI GRIPAL,7
82,Dr. Miguel Rossi Candia,2020-01-01,HEPATITIS A,3
82,Dr. Miguel Rossi Candia,2020-01-01,VARICELA,3
82,Dr. Miguel Rossi Candia,2020-01-01,FIEBRE AMARILLA,2
82,Dr. Miguel Rossi Candia,2020-01-01,DPT,4
82,Dr. Miguel Rossi Candia,2020-01-01,DPT (a),22
82,Dr. Miguel Rossi Candia,2020-01-01,DOBLE VIRAL,13
82,Dr. Miguel Rossi Candia,2020-01-01,HPV,11
79,Quinta Ferre,2020-01-01,HEPATITIS B,8
79,Quinta Ferre,2020-01-01,SALK,5
79,Quinta Ferre,2020-01-01,ROTAVIRUS,5
79,Quinta Ferre,2020-01-01,PENTAVALENTE,6
79,Quinta Ferre,2020-01-01,NEUMOCOCICA CONJUGADA,4
79,Quinta Ferre,2020-01-01,SABIN ORAL,6
79,Quinta Ferre,2020-01-01,TRIPLE VIRAL,15
79,Quinta Ferre,2020-01-01,ANTI GRIPAL,8
79,Quinta Ferre,2020-01-01,HEPATITIS B,3
79,Quinta Ferre,2020-01-01,VARICELA,5
79,Quinta Ferre,2020-01-01,FIEBRE AMARILLA,6
79,Quinta Ferre,2020-01-01,DPT,5
79,Quinta Ferre,2020-01-01,DPT (a),11
79,Quinta Ferre,2020-01-01,DOBLE BACTERIANA,6
79,Quinta Ferre,2020-01-01,HPV,3
79,Quinta Ferre,2020-01-01,MENINGOCOC.,1
73,San Marcos,2020-01-01,HEPATITIS B,2
73,San Marcos,2020-01-01,SALK,1
73,San Marcos,2020-01-01,PENTAVALENTE,1
73,San Marcos,2020-01-01,NEUMOCOCICA CONJUGADA,5
73,San Marcos,2020-01-01,SABIN ORAL,2
73,San Marcos,2020-01-01,HEPATITIS A,7
73,San Marcos,2020-01-01,VARICELA,6
73,San Marcos,2020-01-01,FIEBRE AMARILLA,2
73,San Marcos,2020-01-01,DPT (a),15
73,San Marcos,2020-01-01,DOBLE BACTERIANA,3
73,San Marcos,2020-01-01,HPV,7
36,Esperanza,2020-01-01,SALK,8
36,Esperanza,2020-01-01,ROTAVIRUS,7
36,Esperanza,2020-01-01,PENTAVALENTE,5
36,Esperanza,2020-01-01,NEUMOCOCICA CONJUGADA,13
36,Esperanza,2020-01-01,SABIN ORAL,18
36,Esperanza,2020-01-01,TRIPLE VIRAL,9
36,Esperanza,2020-01-01,ANTI GRIPAL,4
36,Esperanza,2020-01-01,HEPATITIS A,7
36,Esperanza,2020-01-01,VARICELA,7
36,Esperanza,2020-01-01,FIEBRE AMARILLA,16
36,Esperanza,2020-01-01,DPT (a),11
36,Esperanza,2020-01-01,HPV,14
88,Dr. Lifschitz,2020-01-01,SALK,2
88,Dr. Lifschitz,2020-01-01,ROTAVIRUS,2
88,Dr. Lifschitz,2020-01-01,PENTAVALENTE,3
88,Dr. Lifschitz,2020-01-01,NEUMOCOCICA CONJUGADA,3
88,Dr. Lifschitz,2020-01-01,SABIN ORAL,7
88,Dr. Lifschitz,2020-01-01,TRIPLE VIRAL,20
88,Dr. Lifschitz,2020-01-01,ANTI GRIPAL,5
88,Dr. Lifschitz,2020-01-01,HEPATITIS A,9
88,Dr. Lifschitz,2020-01-01,FIEBRE AMARILLA,39
88,Dr. Lifschitz,2020-01-01,DPT (a),7
88,Dr. Lifschitz,2020-01-01,HPV,5
31,Dr. Elias Galvan,2020-01-01,SALK,3
31,Dr. Elias Galvan,2020-01-01,ROTAVIRUS,3
31,Dr. Elias Galvan,2020-01-01,PENTAVALENTE,3
31,Dr. Elias Galvan,2020-01-01,NEUMOCOCICA CONJUGADA,7
31,Dr. Elias Galvan,2020-01-01,SABIN ORAL,3
31,Dr. Elias Galvan,2020-01-01,TRIPLE VIRAL,3
31,Dr. Elias Galvan,2020-01-01,ANTI GRIPAL,2
31,Dr. Elias Galvan,2020-01-01,HEPATITIS A,2
31,Dr. Elias Galvan,2020-01-01,FIEBRE AMARILLA,9
31,Dr. Elias Galvan,2020-01-01,DPT,2
31,Dr. Elias Galvan,2020-01-01,DPT (a),7
31,Dr. Elias Galvan,2020-01-01,HPV,2
91,Dr. Pedro Blugerman,2020-01-01,HEPATITIS B,2
91,Dr. Pedro Blugerman,2020-01-01,SALK,2
91,Dr. Pedro Blugerman,2020-01-01,ROTAVIRUS,1
91,Dr. Pedro Blugerman,2020-01-01,PENTAVALENTE,5
91,Dr. Pedro Blugerman,2020-01-01,NEUMOCOCICA CONJUGADA,7
91,Dr. Pedro Blugerman,2020-01-01,SABIN ORAL,8
91,Dr. Pedro Blugerman,2020-01-01,TRIPLE VIRAL,21
91,Dr. Pedro Blugerman,2020-01-01,ANTI GRIPAL,6
91,Dr. Pedro Blugerman,2020-01-01,HEPATITIS A,7
91,Dr. Pedro Blugerman,2020-01-01,VARICELA,1
91,Dr. Pedro Blugerman,2020-01-01,FIEBRE AMARILLA,15
91,Dr. Pedro Blugerman,2020-01-01,DPT,12
91,Dr. Pedro Blugerman,2020-01-01,DPT (a),11
91,Dr. Pedro Blugerman,2020-01-01,DOBLE BACTERIANA,9
91,Dr. Pedro Blugerman,2020-01-01,HPV,10
54,Itati,2020-01-01,HEPATITIS B,6
54,Itati,2020-01-01,SALK,3
54,Itati,2020-01-01,ROTAVIRUS,2
54,Itati,2020-01-01,PENTAVALENTE,7
54,Itati,2020-01-01,NEUMOCOCICA CONJUGADA,10
54,Itati,2020-01-01,SABIN ORAL,5
54,Itati,2020-01-01,TRIPLE VIRAL,13
54,Itati,2020-01-01,ANTI GRIPAL,6
54,Itati,2020-01-01,HEPATITIS A,6
54,Itati,2020-01-01,MENINGOCOC.,2
54,Itati,2020-01-01,FIEBRE AMARILLA,30
54,Itati,2020-01-01,DPT (a),12
54,Itati,2020-01-01,DOBLE BACTERIANA,4
54,Itati,2020-01-01,HPV,7
42,Dr. Santiago Lorenzo,2020-01-01,HEPATITIS B,2
42,Dr. Santiago Lorenzo,2020-01-01,SALK,11
42,Dr. Santiago Lorenzo,2020-01-01,ROTAVIRUS,13
42,Dr. Santiago Lorenzo,2020-01-01,PENTAVALENTE,1
42,Dr. Santiago Lorenzo,2020-01-01,NEUMOCOCICA CONJUGADA,17
42,Dr. Santiago Lorenzo,2020-01-01,SABIN ORAL,16
42,Dr. Santiago Lorenzo,2020-01-01,TRIPLE VIRAL,18
42,Dr. Santiago Lorenzo,2020-01-01,ANTI GRIPAL,10
42,Dr. Santiago Lorenzo,2020-01-01,HEPATITIS A,8
42,Dr. Santiago Lorenzo,2020-01-01,VARICELA,11
42,Dr. Santiago Lorenzo,2020-01-01,FIEBRE AMARILLA,23
42,Dr. Santiago Lorenzo,2020-01-01,DPT (a),12
42,Dr. Santiago Lorenzo,2020-01-01,DOBLE BACTERIANA,8
42,Dr. Santiago Lorenzo,2020-01-01,MENINGOCOC.,2
42,Dr. Santiago Lorenzo,2020-01-01,HPV,7
42,Dr. Santiago Lorenzo,2020-01-01,NEUMOCOCICA NO CONJUGADA,1
58,Dr. Oscar Pirchi,2020-01-01,HEPATITIS B,3
58,Dr. Oscar Pirchi,2020-01-01,ROTAVIRUS,7
58,Dr. Oscar Pirchi,2020-01-01,PENTAVALENTE,11
58,Dr. Oscar Pirchi,2020-01-01,NEUMOCOCICA CONJUGADA,8
58,Dr. Oscar Pirchi,2020-01-01,SABIN ORAL,12
58,Dr. Oscar Pirchi,2020-01-01,TRIPLE VIRAL,16
58,Dr. Oscar Pirchi,2020-01-01,ANTI GRIPAL,16
58,Dr. Oscar Pirchi,2020-01-01,HEPATITIS A,9
58,Dr. Oscar Pirchi,2020-01-01,VARICELA,3
58,Dr. Oscar Pirchi,2020-01-01,FIEBRE AMARILLA,6
58,Dr. Oscar Pirchi,2020-01-01,DPT (a),20
58,Dr. Oscar Pirchi,2020-01-01,DOBLE BACTERIANA,17
58,Dr. Oscar Pirchi,2020-01-01,HPV,12
70,Villa Garcia,2020-01-01,SALK,1
70,Villa Garcia,2020-01-01,ROTAVIRUS,1
70,Villa Garcia,2020-01-01,PENTAVALENTE,2
70,Villa Garcia,2020-01-01,NEUMOCOCICA CONJUGADA,4
70,Villa Garcia,2020-01-01,SABIN ORAL,1
70,Villa Garcia,2020-01-01,TRIPLE VIRAL,7
70,Villa Garcia,2020-01-01,HEPATITIS A,3
70,Villa Garcia,2020-01-01,VARICELA,2
70,Villa Garcia,2020-01-01,FIEBRE AMARILLA,10
